cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-01,97.0,11.0,11.0,9.0,3.0,12.0,8.0,7.0,12.0,13.0,14.0,8.0,9.0,6.0,10.0,9.0,10.0,9.0,5.0,9.0,5.0,11.0,15.0,9.0,2.0
2024-02,87.0,20.0,10.0,9.0,10.0,9.0,6.0,7.0,8.0,10.0,7.0,8.0,8.0,12.0,6.0,12.0,6.0,5.0,4.0,9.0,5.0,8.0,7.0,1.0,0.0
2024-03,79.0,16.0,4.0,9.0,13.0,3.0,8.0,15.0,9.0,14.0,9.0,4.0,9.0,7.0,7.0,5.0,9.0,7.0,3.0,15.0,10.0,9.0,1.0,0.0,0.0
2024-04,79.0,18.0,5.0,8.0,5.0,5.0,7.0,9.0,10.0,6.0,8.0,8.0,8.0,7.0,2.0,6.0,7.0,6.0,9.0,10.0,7.0,0.0,0.0,0.0,0.0
2024-05,62.0,14.0,7.0,6.0,6.0,12.0,9.0,7.0,6.0,4.0,5.0,3.0,1.0,6.0,9.0,11.0,7.0,4.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
2024-06,63.0,15.0,8.0,5.0,10.0,8.0,9.0,8.0,5.0,9.0,5.0,5.0,4.0,3.0,2.0,3.0,8.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07,55.0,8.0,2.0,3.0,6.0,9.0,3.0,7.0,9.0,7.0,7.0,6.0,3.0,5.0,4.0,12.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,62.0,4.0,8.0,4.0,12.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,6.0,2.0,11.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,51.0,14.0,6.0,11.0,6.0,6.0,5.0,8.0,4.0,8.0,8.0,7.0,3.0,7.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,79.0,13.0,4.0,4.0,3.0,4.0,6.0,5.0,7.0,4.0,2.0,5.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,76.0,10.0,4.0,3.0,4.0,5.0,1.0,5.0,3.0,4.0,5.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,68.0,11.0,2.0,5.0,1.0,7.0,3.0,6.0,4.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,43.0,3.0,3.0,3.0,1.0,5.0,3.0,6.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,37.0,6.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,28.0,10.0,1.0,5.0,1.0,2.0,4.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,22.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05,21.0,3.0,1.0,3.0,3.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,27.0,5.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,27.0,7.0,2.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,23.0,4.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,11.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,26.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
