cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-01,1621685.37,288636.11,297870.35,161817.37,88949.99,301574.38,175283.01,57452.62,267875.36,158545.25,381878.06,115873.16,256282.64,182555.73,213503.79,153856.31,100023.85,148881.69,49022.19,134138.93,80924.84,175720.64,242680.51,227985.46,23832.6
2024-02,1562774.24,222117.83,201695.93,122069.41,257860.7,429110.9,68782.48,91863.92,149605.64,340582.73,122314.08,228114.3,67294.84,371303.38,33510.91,196124.78,186057.5,80526.14,27976.07,207784.98,97499.69,261060.52,81105.84,12485.11,0.0
2024-03,1552306.27,429220.12,42976.23,116481.08,137974.51,93239.71,149439.14,539316.53,94747.96,432926.2,102004.76,84422.16,155077.68,225650.74,91976.54,22563.27,241814.65,155353.89,13741.93,285147.07,115071.55,176272.74,8467.33,0.0,0.0
2024-04,1650882.53,256651.91,54910.3,116865.33,225697.94,101280.63,95939.54,57275.55,264030.19,403108.08,60984.27,283728.13,110294.77,76947.15,62904.25,96274.4,91897.96,82019.67,112911.3,320253.27,42552.59,0.0,0.0,0.0,0.0
2024-05,1315828.95,261958.96,169207.79,85466.71,136704.02,160756.6,137096.96,188929.96,70045.48,96641.29,111285.58,15248.34,11414.83,68810.05,226963.22,136902.64,131182.3,75239.48,338585.11,151569.3,0.0,0.0,0.0,0.0,0.0
2024-06,1403877.78,320520.91,234096.1,31475.74,145272.92,77379.0,159660.28,181806.05,136183.3,340948.09,159012.53,108091.4,34397.81,47254.51,17252.48,6048.02,147047.26,89723.38,99014.21,1828.01,0.0,0.0,0.0,0.0,0.0
2024-07,885296.15,236095.2,7893.26,43645.93,195254.53,123919.42,40652.6,134174.98,214168.9,115350.51,240847.9,230379.69,228549.64,57061.28,166473.01,321907.15,305827.71,293048.89,1708.04,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,1302382.86,116305.69,90353.47,140652.56,228194.81,80879.78,58683.37,59770.63,74134.7,141266.96,15868.86,49237.89,209586.11,10254.98,257648.67,172794.45,37685.42,24111.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,761541.32,262358.77,116959.25,98023.66,199925.56,59794.54,40370.93,94646.49,17336.97,303076.99,126488.19,286299.12,73971.01,118829.52,206896.03,184972.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,1648125.82,176407.16,55990.94,74072.73,31284.26,98323.49,74818.95,130597.75,94948.21,56920.61,17378.4,30949.33,144027.81,9558.03,156921.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,1483001.1,229677.11,21752.68,27214.95,19044.68,143586.02,16980.55,98915.4,120279.98,20311.74,59989.88,16756.89,59841.38,181842.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,1585785.02,132137.75,11224.78,50289.9,10393.64,144197.73,51204.69,222041.61,159524.68,17196.24,32453.58,33993.99,72188.22,1473.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
